experession2, experession20, experession30, experession60, experession100, experession200,  experession300, expression600, expression1000
24.5,29.955,29.955,29.955,29.955,29.955,29.955,29.955,29.955
26.45,26.45,35.45,39.25,45.5,49.5,49.95,53.5,57
29.75,32.95,43.2,48.15,55.5,62.65,62.8,67.55,71.55
30.55,42.7,47.5,52.35,60.2,63.55,63.45,67.6,70.4
33.95,39.3,42.9,46.2,50.9,54.5,54.8,56.8,61.9
33.55,36.15,38.35,39.7,44.85,46.45,46.4,48.65,50.7
28.45,30.2,31.1,32.6,34.3,36.1,35.1,37.2,40.2
31.15,29.8,30.3,30.4,32,32.9,32.6,34.1,34.6
28.15,28.45,29.3,29.85,32,33.6,32.55,32.7,34.5
30.4,28.25,29.3,30.3,31.4,32.05,31.1,32.5,33.65
31.65,29.1,29.95,30.2,32.05,34,33.6,35,34.95
30.9,28,29.1,29.95,31.15,32.05,30.9,31.05,31.65







